stat,value,unit,description
ACT count,3,,
PRE count,1,,
PREA count,0,,
RD count,6,,
WR count,1,,
RDA count,0,,
WRA count,0,,
REF count,0,,
REFB count,0,,
PDF_F_ACT count,0,,
PDF_F_PRE count,0,,
PDN_S_PRE count,0,,
SREN count,0,,
SREX count,0,,
ACT cycles,18,,
PRE cycles,6,,
PREA cycles,0,,
RD cycles,60,,
WR cycles,10,,
RDA cycles,0,,
WRA cycles,0,,
REF cycles,0,,
REFB cycles,0,,
PDF_F_ACT cycles,0,,
PDF_F_PRE cycles,0,,
PDN_S_PRE cycles,0,,
SREN cycles,0,,
SREX cycles,0,,
totalCycleCount,48,,
totalActStandbyCycles,45,,Total number of cycles for which the rank was in active standby mode
totalPreStandbyCycles,1,,Total number of cycles for which the rank was in precharge standby mode
total read energy,23075.6,pJ,
total write energy,6559.45,pJ,
totalPreCmdEnergy,1114.96,pJ,
totalActCmdEnergy,3344.88,pJ,
total precharge standby energy,119.011,pJ,
total active standby energy,5821.19,pJ,
total energy,40035.1,pJ,
avgPower,333.626,mW,
avgCurrent,247.13,mA,
